Libellé;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Population totale au 1er janvier - France métropolitaine;57565008;57752535;57935959;58116018;58298962;58496613;58858198;59266572;59685899;60101841;60505421;60963264;61399733;61795238;62134866;62465709;62765235;63070344;63375971;63697865;64027958;64300821;64468792;64618416;64725052;64812052
Population totale au 1er janvier - France (inclus Mayotte à partir de 2014);59070077;59280577;59487413;59691177;59899347;60122665;60508150;60941410;61385070;61824030;62251062;62730537;63186117;63600690;63961859;64304500;64612939;64933400;65241241;65564756;66130873;66422469;66602645;66768420;66890699;66992699
Population au 1er janvier - Hommes - Moins de 15 ans - France métropolitaine;5827481;5797225;5753770;5714442;5677156;5670252;5690404;5717861;5731275;5741079;5743711;5752594;5763808;5797150;5822253;5867279;5907101;5941265;5973817;6011490;6027041;6032124;6002321;5960477;5915257;5867293
Population au 1er janvier - Hommes - Moins de 20 ans - France métropolitaine;7765056;7714652;7700740;7700939;7685889;7682497;7695796;7706472;7717913;7731264;7766148;7796359;7814800;7838862;7850203;7864098;7882609;7901666;7908343;7939908;7977349;8006756;8004668;7980388;7947080;7901395
Population au 1er janvier - Hommes - De 20 à 59 ans - France métropolitaine;15461422;15515692;15549034;15573867;15618158;15663652;15754409;15883622;16028451;16146421;16228093;16317284;16412234;16422379;16393318;16357834;16316169;16276697;16257482;16233475;16199977;16135172;16067115;16014537;15955199;15902957
Population au 1er janvier - Hommes - 60 ans et plus - France métropolitaine;4772965;4847712;4905677;4960941;5012134;5059996;5116719;5160925;5194079;5251788;5320258;5405733;5487377;5656337;5841226;6025502;6199172;6375265;6533345;6692626;6847598;7005458;7144419;7286128;7423900;7557087
Population au 1er janvier - Hommes - 75 ans et plus - France métropolitaine;1196855;1196325;1270265;1336837;1396294;1451677;1502894;1558710;1615094;1669235;1720293;1780970;1844538;1902830;1960940;2009609;2060405;2103544;2147128;2184599;2224035;2266880;2287425;2300232;2330755;2372742
Population au 1er janvier - Hommes - De 15 à 49 ans - France métropolitaine;14603156;14634032;14680380;14633278;14564477;14473844;14415565;14368874;14360700;14354126;14367812;14376708;14386668;14384274;14355441;14310693;14257412;14212092;14154661;14113826;14067338;14003304;13940273;13884457;13828204;13769373
Population au 1er janvier - Femmes - Moins de 15 ans - France métropolitaine;5559279;5532418;5492862;5453475;5417888;5409778;5423451;5445453;5457609;5466500;5472036;5480343;5494939;5523638;5547619;5594391;5636910;5667839;5703245;5733279;5751435;5764996;5735804;5698860;5658324;5612164
Population au 1er janvier - Femmes - Moins de 20 ans - France métropolitaine;7414719;7369709;7357487;7354803;7341033;7335411;7351491;7361385;7373461;7385310;7417346;7446044;7465601;7476232;7487372;7504742;7523983;7538742;7549313;7573188;7611359;7645022;7640858;7617486;7588802;7543914
Population au 1er janvier - Femmes - De 20 à 59 ans - France métropolitaine;15478714;15553029;15611518;15658485;15724437;15792118;15912877;16078443;16259575;16414471;16532377;16653933;16781404;16797604;16777461;16749232;16707443;16663204;16653128;16619772;16591564;16545460;16495142;16453654;16401744;16358853
Population au 1er janvier - Femmes - 60 ans et plus - France métropolitaine;6672132;6751741;6811503;6866983;6917311;6962939;7026906;7075725;7112420;7172587;7241199;7343911;7438317;7603824;7785286;7964301;8135859;8314770;8474360;8638896;8800111;8962953;9116590;9266223;9408327;9547846
Population au 1er janvier - Femmes - 75 ans et plus - France métropolitaine;2347324;2339194;2432427;2519611;2596812;2669619;2741883;2821419;2902377;2978569;3049722;3143680;3241456;3323482;3400540;3459967;3515694;3564568;3604524;3634407;3668963;3700912;3707391;3698011;3704989;3727970
Population au 1er janvier - Femmes - De 15 à 49 ans - France métropolitaine;14487025;14548434;14625458;14602929;14560131;14493094;14467585;14448315;14458828;14464283;14482854;14500441;14511425;14490399;14455332;14404487;14344168;14292459;14239197;14196012;14154262;14103811;14059253;14015616;13972328;13926211
Population au 1er janvier - Ensemble - Moins de 15 ans - France métropolitaine;11386760;11329643;11246632;11167917;11095044;11080030;11113855;11163314;11188884;11207579;11215747;11232937;11258747;11320788;11369872;11461670;11544011;11609104;11677062;11744769;11778476;11797120;11738125;11659337;11573581;11479457
Population au 1er janvier - Ensemble - Moins de 20 ans - France métropolitaine;15179775;15084361;15058227;15055742;15026922;15017908;15047287;15067857;15091374;15116574;15183494;15242403;15280401;15315094;15337575;15368840;15406592;15440408;15457656;15513096;15588708;15651778;15645526;15597874;15535882;15445309
Population au 1er janvier - Ensemble - De 20 à 59 ans - France métropolitaine;30940136;31068721;31160552;31232352;31342595;31455770;31667286;31962065;32288026;32560892;32760470;32971217;33193638;33219983;33170779;33107066;33023612;32939901;32910610;32853247;32791541;32680632;32562257;32468191;32356943;32261810
Population au 1er janvier - Ensemble - 60 ans et plus - France métropolitaine;11445097;11599453;11717180;11827924;11929445;12022935;12143625;12236650;12306499;12424375;12561457;12749644;12925694;13260161;13626512;13989803;14335031;14690035;15007705;15331522;15647709;15968411;16261009;16552351;16832227;17104933
Population au 1er janvier - Ensemble - 75 ans et plus - France métropolitaine;3544179;3535519;3702692;3856448;3993106;4121296;4244777;4380129;4517471;4647804;4770015;4924650;5085994;5226312;5361480;5469576;5576099;5668112;5751652;5819006;5892998;5967792;5994816;5998243;6035744;6100712
Population au 1er janvier - Ensemble - De 15 à 49 ans - France métropolitaine;29090181;29182466;29305838;29236207;29124608;28966938;28883150;28817189;28819528;28818409;28850666;28877149;28898093;28874673;28810773;28715180;28601580;28504551;28393858;28309838;28221600;28107115;27999526;27900073;27800532;27695584
Population au 1er janvier - Hommes - Moins de 15 ans - France;6041792;6013408;5971750;5934499;5899624;5894663;5916728;5948090;5965527;5978430;5982730;5991041;5996131;6029706;6055194;6100495;6139796;6172000;6201401;6236644;6302473;6307302;6274647;6232851;6187853;6139574
Population au 1er janvier - Hommes - Moins de 20 ans - France;8050984;8001595;7988608;7990054;7976556;7975327;7988412;8000441;8014622;8031233;8071084;8105665;8123716;8148868;8161384;8174193;8190886;8206625;8208786;8236960;8335925;8365745;8362047;8338792;8306593;8260779
Population au 1er janvier - Hommes - De 20 à 59 ans - France;15842523;15903754;15944240;15975908;16027374;16078641;16175344;16310168;16459685;16580155;16663397;16753533;16856130;16871404;16845771;16811728;16770616;16733705;16715881;16690662;16699260;16634215;16565586;16512130;16451819;16398879
Population au 1er janvier - Hommes - 60 ans et plus - France;4841771;4918974;4979443;5037300;5091257;5142437;5202044;5249408;5285026;5345956;5417452;5506394;5590198;5761482;5951132;6139924;6318030;6500627;6663407;6827803;6992942;7157023;7302454;7450778;7594997;7734873
Population au 1er janvier - Hommes - 75 ans et plus - France;1213177;1213401;1288376;1355833;1416312;1472982;1525277;1582012;1639159;1694124;1746061;1807587;1872331;1931210;1990417;2040294;2092427;2137698;2182826;2221577;2263481;2307514;2329758;2343838;2376087;2419705
Population au 1er janvier - Hommes - De 15 à 49 ans - France;14998271;15033777;15084987;15042325;14977990;14891590;14833161;14786076;14777232;14769284;14783872;14795352;14817511;14818289;14789950;14742306;14685086;14636364;14575289;14528161;14525519;14458774;14392725;14334551;14275942;14214449
Population au 1er janvier - Femmes - Moins de 15 ans - France;5767836;5742623;5704601;5667048;5633315;5627034;5641718;5665561;5680189;5691021;5697757;5705747;5719819;5748495;5772018;5817456;5859155;5888943;5922313;5950045;6017703;6032139;6002232;5965769;5925523;5879846
Population au 1er janvier - Femmes - Moins de 20 ans - France;7692827;7648800;7637483;7635863;7623439;7619510;7638228;7650618;7664983;7678625;7712889;7743192;7764037;7775928;7787501;7803115;7819649;7831645;7838327;7859121;7958800;7993269;7990084;7968588;7941212;7897418
Population au 1er janvier - Femmes - De 20 à 59 ans - France;15879186;15962066;16029351;16085091;16160109;16236129;16365884;16540418;16730670;16894088;17019971;17148423;17280106;17302422;17289022;17264472;17226614;17186403;17175198;17140315;17161730;17119843;17069544;17028227;16976812;16934132
Population au 1er janvier - Femmes - 60 ans et plus - France;6762786;6845388;6908288;6966961;7020612;7070621;7138238;7190357;7230084;7293973;7366269;7473330;7571930;7740586;7927049;8111068;8287144;8474395;8639642;8809895;8982216;9152374;9312930;9469905;9619266;9766618
Population au 1er janvier - Femmes - 75 ans et plus - France;2375564;2368524;2463203;2551585;2630152;2704791;2778841;2859895;2942115;3019821;3092386;3187736;3286871;3370140;3448524;3509510;3567031;3619313;3661503;3693165;3730686;3764300;3772852;3765015;3774255;3799143
Population au 1er janvier - Femmes - De 15 à 49 ans - France;14895413;14963166;15047031;15030909;14994845;14933978;14915405;14902246;14917748;14927556;14950515;14972305;14985223;14968614;14937480;14886302;14824460;14770438;14710160;14660158;14670520;14620109;14573738;14528123;14483344;14435356
Population au 1er janvier - Ensemble - Moins de 15 ans - France;11809628;11756031;11676351;11601547;11532939;11521697;11558446;11613651;11645716;11669451;11680487;11696788;11715950;11778201;11827212;11917951;11998951;12060943;12123714;12186689;12320176;12339441;12276879;12198620;12113376;12019420
Population au 1er janvier - Ensemble - Moins de 20 ans - France;15743811;15650395;15626091;15625917;15599995;15594837;15626640;15651059;15679605;15709858;15783973;15848857;15887753;15924796;15948885;15977308;16010535;16038270;16047113;16096081;16294725;16359014;16352131;16307380;16247805;16158197
Population au 1er janvier - Ensemble - De 20 à 59 ans - France;31721709;31865820;31973591;32060999;32187483;32314770;32541228;32850586;33190355;33474243;33683368;33901956;34136236;34173826;34134793;34076200;33997230;33920108;33891079;33830977;33860990;33754058;33635130;33540357;33428631;33333011
Population au 1er janvier - Ensemble - 60 ans et plus - France;11604557;11764362;11887731;12004261;12111869;12213058;12340282;12439765;12515110;12639929;12783721;12979724;13162128;13502068;13878181;14250992;14605174;14975022;15303049;15637698;15975158;16309397;16615384;16920683;17214263;17501491
Population au 1er janvier - Ensemble - 75 ans et plus - France;3588741;3581925;3751579;3907418;4046464;4177773;4304118;4441907;4581274;4713945;4838447;4995323;5159202;5301350;5438941;5549804;5659458;5757011;5844329;5914742;5994167;6071814;6102610;6108853;6150342;6218848
Population au 1er janvier - Ensemble - De 15 à 49 ans - France;29893684;29996943;30132018;30073234;29972835;29825568;29748566;29688322;29694980;29696840;29734387;29767657;29802734;29786903;29727430;29628608;29509546;29406802;29285449;29188319;29196039;29078883;28966463;28862674;28759286;28649805
