"","RT1-SCA_F_IS-IP","RT1-SCA_F_CC1_IS-IP","RT1-SCA_F_CC1_IS-PEI","RT1-SCA_F_CC11_IS-PEI","RT1-SCA_F_CC11_X_CC113_IS-PEI","RT1-SCA_F_CC2_IS-IP","RT12-CA_F_IS-IP","RT12-CA_F_CC1_IS-IP","RT12-CA_F_CC2_IS-IP","RT12-NSA_F_CC1_IS-PEI","RT12-NSA_F_CC11_IS-PEI","RT12-NSA_F_CC11_X_CC113_IS-PEI","YEAR","MONTH"
"231","-0.1 ","0.2 ","4.6 s","10.9 s","10.5 s","-1.3 ","3.6 ","3.7 ","3.4 ","7.1 ","11.7 ","12.1 ","2000","07 "
"232","-3.4 ","-3.5 ","-15.2 s","-17.9 s","-16.7 s","-2.9 ","5.7 ","5.5 ","7.0 ","2.2 ","2.0 ","1.9 ","2000","06 "
"233","6.5 ","7.3 ","15.9 s","7.7 s","9.1 s","3.7 ","11.1 ","12.0 ","7.9 ","25.6 ","35.1 ","33.4 ","2000","05 "
"234","-3.4 ","-4.6 ","-6.8 s","8.8 s","4.8 s","1.2 ","2.8 ","2.2 ","5.9 ","4.5 ","19.2 ","17.0 ","2000","04 "
"235","4.2 ","4.9 ","4.6 s","-3.7 s","-2.5 s","1.2 ","8.6 ","9.7 ","4.7 ","18.6 ","12.8 ","11.9 ","2000","03 "
"236","-1.8 ","-1.4 ","5.4 s","-4.2 s","-3.4 s","-3.2 ","10.9 ","11.4 ","8.9 ","23.2 ","29.1 ","27.5 ","2000","02 "
"237","1.5 ","0.8 ","0.3 s","13.6 s","4.6 s","4.4 ","2.7 ","2.9 ","1.7 ","19.1 ","24.7 ","23.6 ","2000","01 "
"238","-0.4 ","0.4 ","3.3 s","-3.0 s","6.1 s","-3.4 ","7.3 ","7.5 ","6.5 ","-34.1 ","-55.5 ","-55.1 ","1999","12 "
"239","1.0 ","0.6 ","-7.5 s","-6.1 s","-6.6 s","2.4 ","5.6 ","5.2 ","7.3 ","-7.4 ","-16.1 ","-16.8 ","1999","11 "
"240","0.4 ","0.5 ","-1.4 s","4.8 s","2.3 s","-0.3 ","6.9 ","7.1 ","6.4 ","10.7 ","-0.1 ","-0.7 ","1999","10 "
"241","0.6 ","0.5 ","8.9 s","-0.2 s","1.4 s","1.1 ","5.1 ","5.0 ","5.2 ","15.6 ","3.9 ","3.6 ","1999","09 "
"242","-1.1 ","-1.4 ","-1.3 s","8.1 s","8.6 s","0.1 ","4.3 ","5.5 ","0.7 ","8.3 ","4.6 ","4.4 ","1999","08 "
"243","2.1 ","2.1 ","-0.4 s","-1.5 s","-2.4 s","2.0 ","5.5 ","6.1 ","3.2 ","10.4 ","0.3 ","-0.5 ","1999","07 "
"244","1.0 ","1.5 ","3.5 s","1.6 s","1.7 s","-1.1 ","4.0 ","4.1 ","3.8 ","17.1 ","4.0 ","3.2 ","1999","06 "
"245","-0.2 ","-0.6 ","-2.8 s","8.2 s","6.8 s","1.6 ","3.4 ","3.7 ","2.3 ","14.3 ","-0.5 ","-0.9 ","1999","05 "
"246","0.4 ","0.5 ","5.4 s","-3.7 s","-3.8 s","0.4 ","2.7 ","2.4 ","3.4 ","13.4 ","-5.1 ","-4.9 ","1999","04 "
"247","7.5 ","8.3 ","6.8 s","9.3 s","7.7 s","4.3 ","3.1 ","4.4 ","-1.4 ","16.4 ","7.5 ","7.3 ","1999","03 "
"248","-9.3 ","-9.4 ","2.2 s","-6.8 s","-5.6 s","-9.1 ","-6.2 ","-6.3 ","-5.7 ","11.6 ","-6.5 ","-6.4 ","1999","02 "
"249","5.9 ","5.4 ","-44.3 s","-59.1 s","-62.3 s","8.3 ","4.4 ","4.9 ","2.0 ","9.1 ","-1.3 ","-1.2 ","1999","01 "
"250","-2.1 ","-2.2 ","48.0 s","76.4 s","99.4 s","-1.8 ","-2.4 ","-1.0 ","-7.5 ","96.6 ","158.8 ","154.2 ","1998","12 "
"251","2.8 ","2.8 ","10.7 s","19.0 s","15.9 s","2.5 ","2.7 ","3.7 ","-1.0 ","39.2 ","54.6 ","54.8 ","1998","11 "
"252","-1.7 ","-1.7 ","3.4 s","5.4 s","4.2 s","-1.9 ","-1.9 ","-0.7 ","-6.5 ","20.6 ","17.7 ","17.3 ","1998","10 "
"253","0.3 ","1.1 ","0.8 s","-2.5 s","-0.9 s","-3.0 ","-0.4 ","0.6 ","-4.1 ","17.2 ","20.5 ","19.6 ","1998","09 "
"254","-0.4 ","-0.9 ","1.5 s","10.3 s","9.0 s","1.8 ","-0.9 ","-0.2 ","-3.3 ","18.8 ","18.8 ","18.5 ","1998","08 "
"255","0.8 ","0.5 ","6.6 s","-0.8 s","-0.2 s","2.0 ","1.0 ","1.8 ","-2.2 ","17.5 ","12.3 ","11.9 ","1998","07 "
"256","-0.3 ","0.0 ","-1.1 s","-3.0 s","-3.0 s","-1.6 ","-1.3 ","-0.8 ","-3.5 ","9.5 ","13.9 ","13.7 ","1998","06 "
"257","0.3 ","-0.4 ","-3.6 s","3.3 s","2.8 s","2.9 ","1.9 ","2.5 ","-0.9 ","21.0 ","18.8 ","18.4 ","1998","05 "
"258","-0.6 ","0.4 ","8.3 s","5.6 s","4.9 s","-4.3 ","-3.4 ","-1.6 ","-9.9 ","18.4 ","10.3 ","9.4 ","1998","04 "
"259","-0.6 ","-0.8 ","1.6 s","-1.7 s","-2.3 s","0.1 ","0.0 ","1.6 ","-5.3 ","18.4 ","16.9 ","16.1 ","1998","03 "
"260","0.1 ","0.7 ","0.3 s","1.6 s","2.1 s","-2.4 ","-1.6 ","-0.7 ","-5.6 ","17.4 ","11.2 ","10.8 ","1998","02 "
"261","-0.4 ","-0.4 ","5.4 s","3.7 s","-2.4 s","-0.1 ","8.8 ","7.6 ","15.1 ","3.7 ","5.0 ","4.9 ","1998","01 "
"262","2.4 ","2.2 ","-0.8 s","2.2 s","11.0 s","3.0 ","-1.5 ","-1.3 ","-2.9 ","10.8 ","7.6 ","7.6 ","1997","12 "
"263","-1.8 ","-1.3 ","-1.4 s","-3.6 s","-3.6 s","-3.9 ","-0.6 ","-1.0 ","0.7 ","10.3 ","1.7 ","1.2 ","1997","11 "
"264","-0.2 ","-0.5 ","0.0 s","4.4 s","2.8 s","0.9 ","-1.7 ","-1.8 ","-1.4 ","7.8 ","10.5 ","10.2 ","1997","10 "
"265","0.3 ","0.6 ","0.0 s","-3.8 s","-4.9 s","-0.8 ","-5.0 ","-5.3 ","-3.7 ","2.9 ","5.3 ","5.9 ","1997","09 "
"266","0.9 ","0.7 ","3.1 s","4.2 s","6.8 s","1.7 ","-3.0 ","-2.6 ","-4.1 ","8.5 ","8.9 ","8.5 ","1997","08 "
"267","-1.4 ","-2.0 ","-0.8 s","-2.0 s","-1.3 s","0.5 ","-2.7 ","-2.5 ","-3.6 ","4.2 ","3.7 ","3.1 ","1997","07 "
"268","2.5 ","2.7 ","6.9 s","7.6 s","4.2 s","1.9 ","-3.7 ","-3.2 ","-5.7 ","8.4 ","4.8 ","4.4 ","1997","06 "
"269","-4.0 ","-3.3 ","-5.7 s","-7.2 s","-6.8 s","-6.3 ","-6.4 ","-6.1 ","-7.1 ","2.7 ","0.9 ","2.3 ","1997","05 "
"270","1.7 ","1.9 ","9.0 s","8.4 s","8.0 s","0.4 ","-2.9 ","-3.2 ","-2.2 ","-0.4 ","5.9 ","6.5 ","1997","04 "
"271","-1.0 ","-1.3 ","-0.7 s","-3.5 s","-4.3 s","0.3 ","-3.5 ","-4.0 ","-1.9 ","-3.4 ","-7.9 ","-7.6 ","1997","03 "
"272","9.8 ","8.5 ","-9.8 s","-0.9 s","0.1 s","16.0 ","6.4 ","3.9 ","18.3 ","-11.0 ","-4.2 ","-3.6 ","1997","02 "
"273","-9.4 ","-8.4 ","13.2 s","-0.8 s","-5.5 s","-13.2 ","-12.4 ","-11.4 ","-16.9 ","0.1 ","1.5 ","1.1 ","1997","01 "
"274","2.9 ","2.1 ","-2.2 s","3.4 s","10.9 s","5.7 ","-5.0 ","-4.5 ","-7.0 ","6.2 ","28.2 ","28.3 ","1996","12 "
"275","-2.4 ","-1.6 ","-2.6 s","1.4 s","2.3 s","-5.7 ","-7.6 ","-6.9 ","-10.0 ","-4.1 ","-1.0 ","-0.7 ","1996","11 "
"276","-4.1 ","-4.4 ","-4.9 s","-3.8 s","-5.4 s","-2.3 ","-6.2 ","-6.5 ","-5.1 ","-0.5 ","4.2 ","4.1 ","1996","10 "
"277","2.9 ","4.0 ","4.8 s","6.4 s","3.1 s","-0.9 ","-0.8 ","-0.6 ","-1.7 ","8.8 ","12.5 ","12.1 ","1996","09 "
"278","0.9 ","0.5 ","-0.4 s","-4.1 s","-0.6 s","2.2 ","-6.8 ","-6.9 ","-6.4 ","3.5 ","0.8 ","1.1 ","1996","08 "
"279","-2.3 ","-2.7 ","4.2 s","-3.9 s","-2.5 s","-1.3 ","-5.4 ","-5.1 ","-6.4 ","2.1 ","14.2 ","14.4 ","1996","07 "
"280","-0.8 ","-1.0 ","0.0 s","10.4 s","8.3 s","0.4 ","-2.4 ","-2.1 ","-3.0 ","-8.7 ","-7.6 ","-7.0 ","1996","06 "
"281","0.4 ","0.7 ","-8.2 s","-5.7 s","-6.6 s","-0.8 ","-2.2 ","-1.9 ","-3.1 ","-12.1 ","-13.2 ","-14.1 ","1996","05 "
"282","-0.1 ","-0.4 ","5.4 s","-5.7 s","-5.7 s","0.6 ","-1.4 ","-1.6 ","-0.8 ","-1.1 ","1.3 ","0.6 ","1996","04 "
"283","10.5 ","8.4 ","-6.9 s","1.3 s","0.9 s","20.0 ","-1.0 ","-1.0 ","-0.9 ","-8.8 ","-5.5 ","-5.7 ","1996","03 "
"284","-9.5 ","-7.8 ","0.0 s","4.1 s","3.6 s","-15.6 ","-12.4 ","-10.8 ","-19.6 ","4.3 ","2.2 ","2.2 ","1996","02 "
"285","-2.1 ","-1.5 ","20.2 s","21.0 s","16.2 s","-4.5 ","-1.0 ","-1.7 ","1.8 ","-4.8 ","-2.1 ","-1.9 ","1996","01 "
"286","-0.2 ","-0.4 ","-11.7 s","-14.3 s","-8.1 s","0.4 ","-1.2 ","-1.0 ","-2.2 ","-15.7 ","-23.1 ","-23.3 ","1995","12 "
"287","-0.7 ","-0.6 ","0.1 s","-0.4 s","-0.2 s","-0.6 ","-2.0 ","-1.6 ","-3.7 ","-10.9 ","-18.7 ","-18.4 ","1995","11 "
"288","1.1 ","0.9 ","5.0 s","7.3 s","5.5 s","1.3 ","2.2 ","1.7 ","3.7 ","3.8 ","-5.3 ","-5.1 ","1995","10 "
"289","-3.0 ","-2.2 ","-0.9 s","-1.4 s","-3.7 s","-5.6 ","1.7 ","1.8 ","1.9 ","-11.4 ","-19.2 ","-19.3 ","1995","09 "
"290","2.1 ","2.2 ","-1.6 s","-1.7 s","2.4 s","1.5 ","5.9 ","3.9 ","12.4 ","-17.8 ","-23.9 ","-23.6 ","1995","08 "
"291","0.7 ","-0.1 ","-7.7 s","-11.1 s","-10.4 s","3.4 ","1.8 ","0.9 ","5.2 ","-5.1 ","-16.0 ","-16.0 ","1995","07 "
"292","-0.7 ","-1.0 ","-2.3 s","-2.9 s","-5.4 s","0.3 ","1.6 ","2.5 ","-1.9 ","-4.6 ","-12.6 ","-13.1 ","1995","06 "
"293","1.9 ","2.0 ","3.1 s","3.0 s","1.7 s","2.1 ","4.0 ","5.5 ","-1.2 ","3.0 ","-1.3 ","-1.2 ","1995","05 "
"294","-0.7 ","-1.0 ","-2.9 s","0.2 s","0.8 s","0.3 ","-0.5 ","0.6 ","-4.7 ","-5.3 ","-7.8 ","-7.4 ","1995","04 "
"295","-1.4 ","-1.3 ","5.8 s","1.8 s","1.5 s","-1.8 ","1.0 ","2.9 ","-5.4 ","0.9 ","-4.6 ","-3.8 ","1995","03 "
"296","2.4 ","1.7 ","-7.7 s","-2.7 s","-2.8 s","5.8 ","3.6 ","4.7 ","-0.5 ","-12.4 ","-8.7 ","-9.2 ","1995","02 "
"297","-2.8 ","-1.4 ","4.0 s","1.3 s","-3.4 s","-8.6 ","-0.9 ","1.2 ","-9.4 ","2.9 ","-1.7 ","-0.4 ","1995","01 "
"298","-0.7 ","-0.6 ","-4.6 s","-12.0 s","-4.6 s","-1.0 ","6.1 ","6.8 ","3.9 ",": ",": ",": ","1994","12 "
"299","4.3 ","3.3 ","16.0 s","12.0 s","10.8 s","8.3 ","3.8 ","4.3 ","2.1 ",": ",": ",": ","1994","11 "
"300","-0.3 ","0.0 ","-11.3 s","-2.3 s","-4.3 s","-1.6 ","-1.8 ","-0.6 ","-5.7 ",": ",": ",": ","1994","10 "
"301","0.0 ","0.3 ","-5.9 s","-10.0 s","-8.2 s","-1.0 ","-1.3 ","-0.5 ","-4.2 ",": ",": ",": ","1994","09 "
"302","0.0 ","0.0 ","11.1 s","8.5 s","7.4 s","-0.1 ","4.6 ","5.9 ","0.0 ",": ",": ",": ","1994","08 "
"303","0.0 ","0.9 ","-7.1 s","-7.4 s","-7.3 s","-3.3 ","-2.6 ","-2.3 ","-3.5 ",": ",": ",": ","1994","07 "
"304","1.7 ","1.9 ","6.1 s","6.0 s","6.1 s","0.9 ","-2.6 ","-2.4 ","-3.1 ",": ",": ",": ","1994","06 "
"305","-1.7 ","-2.1 ","-4.8 s","2.7 s","2.2 s","-0.8 ","-4.2 ","-4.5 ","-3.7 ",": ",": ",": ","1994","05 "
"306","0.1 ","0.5 ","3.1 s","0.3 s","0.4 s","-1.1 ","-4.1 ","-4.6 ","-2.2 ",": ",": ",": ","1994","04 "
"307","1.4 ","0.8 ","-6.6 s","-2.7 s","-3.3 s","3.1 ","-3.9 ","-4.5 ","-2.3 ",": ",": ",": ","1994","03 "
"308","-1.5 ","-1.3 ","6.3 s","1.6 s","2.6 s","-1.6 ","-6.7 ","-6.4 ","-8.0 ",": ",": ",": ","1994","02 "
"309","2.8 ","3.2 ",": ",": ",": ","1.0 ","-7.3 ","-7.1 ","-8.1 ",": ",": ",": ","1994","01 "
"310","-2.0 ","-2.3 ",": ",": ",": ","-0.8 ","-7.9 ","-9.8 ","-0.4 ",": ",": ",": ","1993","12 "
"311","-1.3 ","-1.2 ",": ",": ",": ","-1.0 ","-8.0 ","-8.4 ","-6.1 ",": ",": ",": ","1993","11 "
"312","-0.5 ","-0.7 ",": ",": ",": ","0.2 ","-8.7 ","-9.6 ","-5.5 ",": ",": ",": ","1993","10 "
"313","-0.7 ","-1.3 ",": ",": ",": ","1.7 ","-8.9 ","-9.1 ","-8.6 ",": ",": ",": ","1993","09 "
"314","-0.9 ","-0.5 ",": ",": ",": ","-2.4 ","-3.8 ","-2.9 ","-6.2 ",": ",": ",": ","1993","08 "
"315","-0.3 ","0.4 ",": ",": ",": ","-2.3 ","-9.2 ","-9.5 ","-8.0 ",": ",": ",": ","1993","07 "
"316","0.1 ","-0.1 ",": ",": ",": ","0.6 ","-7.5 ","-7.7 ","-6.6 ",": ",": ",": ","1993","06 "
"317","-1.2 ","-1.8 ",": ",": ",": ","1.3 ","-7.2 ","-6.7 ","-8.9 ",": ",": ",": ","1993","05 "
"318","-0.2 ","0.0 ",": ",": ",": ","-1.1 ","-8.2 ","-7.0 ","-12.5 ",": ",": ",": ","1993","04 "
"319","-1.6 ","-1.0 ",": ",": ",": ","-3.6 ","-6.8 ","-5.7 ","-10.4 ",": ",": ",": ","1993","03 "
"320","-1.2 ","-1.4 ",": ",": ",": ","-0.1 ","-6.0 ","-5.7 ","-7.2 ",": ",": ",": ","1993","02 "
"321","0.8 ","-0.7 ",": ",": ",": ","6.6 ","-3.8 ","-3.0 ","-6.7 ",": ",": ",": ","1993","01 "
"322","-1.4 ","-0.2 ",": ",": ",": ","-5.7 ","-3.5 ","-0.4 ","-14.6 ",": ",": ",": ","1992","12 "
"323","-1.9 ","-2.2 ",": ",": ",": ","-0.7 ","-2.6 ","-1.1 ","-7.6 ",": ",": ",": ","1992","11 "
"324","-1.4 ","-0.9 ",": ",": ",": ","-3.3 ","-0.7 ","1.5 ","-7.7 ",": ",": ",": ","1992","10 "
"325","5.5 ","5.6 ",": ",": ",": ","5.3 ","2.4 ","4.2 ","-3.2 ",": ",": ",": ","1992","09 "
"326","-6.5 ","-6.9 ",": ",": ",": ","-5.2 ","-4.0 ","-2.3 ","-9.1 ",": ",": ",": ","1992","08 "
"327","1.3 ","1.8 ",": ",": ",": ","-0.7 ","2.9 ","5.3 ","-5.0 ",": ",": ",": ","1992","07 "
"328","0.6 ","1.3 ",": ",": ",": ","-1.3 ","4.6 ","7.0 ","-3.2 ",": ",": ",": ","1992","06 "
"329","-2.0 ","-1.8 ",": ",": ",": ","-2.8 ","0.8 ","2.5 ","-4.0 ",": ",": ",": ","1992","05 "
"330","1.0 ","0.9 ",": ",": ",": ","1.1 ","3.0 ","5.3 ","-4.5 ",": ",": ",": ","1992","04 "
"331","-0.9 ","-1.2 ",": ",": ",": ","0.3 ","2.8 ","5.6 ","-5.2 ",": ",": ",": ","1992","03 "
"332","2.0 ","2.1 ",": ",": ",": ","1.7 ","16.9 ","18.2 ","11.8 ",": ",": ",": ","1992","02 "
"333","0.5 ","1.1 ",": ",": ",": ","-1.8 ","0.0 ","3.2 ","-10.8 ",": ",": ",": ","1992","01 "
"334","-0.5 ","-0.5 ",": ",": ",": ","-0.4 ","4.8 ","7.7 ","-4.8 ",": ",": ",": ","1991","12 "
"335","0.3 ","0.7 ",": ",": ",": ","-1.6 ","0.6 ","3.2 ","-7.8 ",": ",": ",": ","1991","11 "
"336","1.3 ","1.1 ",": ",": ",": ","2.5 ","0.7 ","2.7 ","-5.7 ",": ",": ",": ","1991","10 "
"337","-0.4 ","-0.8 ",": ",": ",": ","0.8 ","0.7 ","4.0 ","-8.8 ",": ",": ",": ","1991","09 "
"338","-0.4 ","0.5 ",": ",": ",": ","-3.4 ","-1.0 ","5.1 ","-14.1 ",": ",": ",": ","1991","08 "
"339","2.8 ","3.3 ",": ",": ",": ","1.5 ","3.2 ","6.2 ","-5.6 ",": ",": ",": ","1991","07 "
"340","-2.6 ","-2.9 ",": ",": ",": ","-1.6 ","-1.8 ","0.1 ","-7.7 ",": ",": ",": ","1991","06 "
"341","0.0 ","1.2 ",": ",": ",": ","-3.4 ","-0.6 ","1.4 ","-6.8 ",": ",": ",": ","1991","05 "
"342","0.9 ","1.0 ",": ",": ",": ","0.4 ","1.2 ","1.9 ","-1.0 ",": ",": ",": ","1991","04 "
"343","12.0 ","10.4 ",": ",": ",": ","17.5 ","-1.1 ","0.5 ","-4.8 ",": ",": ",": ","1991","03 "
"344","-12.1 ","-10.5 ",": ",": ",": ","-17.4 ","-9.1 ","-6.8 ","-16.6 ",": ",": ",": ","1991","02 "
"345","4.9 ","5.0 ",": ",": ",": ","4.1 ","2.7 ","3.4 ","0.7 ",": ",": ",": ","1991","01 "
"346","-4.5 ","-4.4 ",": ",": ",": ","-4.4 ",": ",": ",": ",": ",": ",": ","1990","12 "
"347","0.4 ","0.5 ",": ",": ",": ","0.3 ",": ",": ",": ",": ",": ",": ","1990","11 "
"348","1.3 ","2.0 ",": ",": ",": ","-0.9 ",": ",": ",": ",": ",": ",": ","1990","10 "
"349","-0.2 ","0.1 ",": ",": ",": ","-1.1 ",": ",": ",": ",": ",": ",": ","1990","09 "
"350","1.7 ","1.7 ",": ",": ",": ","2.3 ",": ",": ",": ",": ",": ",": ","1990","08 "
"351","-2.2 ","-2.6 ",": ",": ",": ","-1.4 ",": ",": ",": ",": ",": ",": ","1990","07 "
"352","-1.1 ","-1.5 ",": ",": ",": ","-0.1 ",": ",": ",": ",": ",": ",": ","1990","06 "
"353","2.0 ","1.6 ",": ",": ",": ","3.0 ",": ",": ",": ",": ",": ",": ","1990","05 "
"354","-1.4 ","-0.6 ",": ",": ",": ","-3.8 ",": ",": ",": ",": ",": ",": ","1990","04 "
"355","2.7 ","2.4 ",": ",": ",": ","3.8 ",": ",": ",": ",": ",": ",": ","1990","03 "
"356","-0.6 ","-0.7 ",": ",": ",": ","-0.8 ",": ",": ",": ",": ",": ",": ","1990","02 "
"357",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1990","01 "
